Pin,Occurrence, Percentage
1314,88115,7.281587496
1234,41465,3.426556495
2008,25466,2.104442004
1987,24963,2.062875432
1986,22056,1.822648741
1988,19227,1.588867761
1989,17849,1.474993534
1985,17290,1.428799271
1984,14531,1.200802904
1990,12305,1.016852229
1983,12149,1.003960807
1982,10489,0.866782855
1981,7931,0.655396589
1991,7747,0.640191322
1111,7585,0.626804076
1230,7515,0.621019464
2007,7260,0.599946947
0,6966,0.575651575
2009,6060,0.500782162
1992,6042,0.49929469
2006,5874,0.485411621
2000,5563,0.459711414
1980,5262,0.43483758
3344,4984,0.411864405
1993,4041,0.333937412
1979,4013,0.331623567
8888,3934,0.325095219
1212,3870,0.31980643
2005,3863,0.319227969
123,3764,0.311046874
1122,3593,0.296915893
2002,3541,0.292618752
1978,3353,0.277082936
2010,3268,0.270058763
5210,3208,0.265100524
1994,3127,0.258406901
2004,2992,0.247250863
2003,2924,0.241631525
7758,2825,0.23345043
2001,2814,0.23254142
5200,2698,0.222955491
5566,2520,0.208246048
1977,2432,0.200973963
1995,2421,0.200064953
8023,2295,0.189652651
1010,2191,0.181058369
1123,2101,0.17362101
1023,2076,0.171555077
1976,2033,0.168001673
1024,2018,0.166762113
1004,2015,0.166514201
1213,1917,0.158415743
1996,1884,0.155688712
1225,1870,0.154531789
1020,1865,0.154118603
1025,1844,0.152383219
1975,1697,0.140235533
1001,1692,0.139822346
1120,1681,0.138913336
1997,1647,0.136103667
1013,1640,0.135525206
1999,1574,0.130071142
1026,1568,0.129575319
1012,1559,0.128831583
9527,1547,0.127839935
1121,1535,0.126848287
1231,1534,0.12676565
1125,1525,0.126021914
9999,1506,0.124451805
1218,1482,0.122468509
1215,1478,0.12213796
1028,1475,0.121890048
1210,1471,0.121559498
7410,1468,0.121311586
1221,1467,0.121228949
1226,1461,0.120733125
7788,1442,0.119163016
1021,1442,0.119163016
1022,1433,0.11841928
5201,1431,0.118254006
1974,1427,0.117923456
1015,1424,0.117675544
1220,1422,0.11751027
1124,1422,0.11751027
1224,1402,0.115857523
8520,1397,0.115444337
1018,1394,0.115196425
1016,1380,0.114039502
1223,1367,0.112965217
1214,1342,0.110899284
1029,1336,0.11040346
1216,1316,0.108750714
1014,1308,0.108089615
2222,1305,0.107841703
1017,1304,0.107759066
1128,1302,0.107593791
1126,1302,0.107593791
1973,1301,0.107511154
1000,1292,0.106767418
1011,1287,0.106354231
1211,1285,0.106188957
1217,1258,0.103957749
1027,1253,0.103544563
1019,1224,0.10114808
4444,1216,0.100486982
1998,1201,0.099247422
